<<<<<<< HEAD
date,victimization
2010,0.307
2013,0.228
2016,0.273
=======
date,victimization
2010,0.307
2013,0.228
2016,0.273
>>>>>>> 411f9cbfbb392fcc65f7c9ccd3ab7bb938b197c6
