product_code,x,y,cluster_name,target,name
8505,-1.416313704074003,-1.6268952490716044,Electronic and Electrical Goods,8543,Magnetic lifting heads.
8505,-1.416313704074003,-1.6268952490716044,Electronic and Electrical Goods,8531,Magnetic lifting heads.
8505,-1.416313704074003,-1.6268952490716044,Electronic and Electrical Goods,8536,Magnetic lifting heads.
8505,-1.416313704074003,-1.6268952490716044,Electronic and Electrical Goods,9029,Magnetic lifting heads.
8505,-1.416313704074003,-1.6268952490716044,Electronic and Electrical Goods,9033,Magnetic lifting heads.
8456,-2.1657510675072427,0.3078790910161637,Industrial Chemicals and Metals,8457,Jet cutting machines.
8456,-2.1657510675072427,0.3078790910161637,Industrial Chemicals and Metals,2907,Jet cutting machines.
8456,-2.1657510675072427,0.3078790910161637,Industrial Chemicals and Metals,8458,Jet cutting machines.
8456,-2.1657510675072427,0.3078790910161637,Industrial Chemicals and Metals,3908,Jet cutting machines.
8456,-2.1657510675072427,0.3078790910161637,Industrial Chemicals and Metals,9017,Jet cutting machines.
8547,-0.7294516251673291,-0.918625996441666,Metalworking and Electrical Machinery and Parts,8512," Insulating fittings for electrical machines, appliances or equipment, being fittings wholly of insulating material apart from any minor components of..."
8547,-0.7294516251673291,-0.918625996441666,Metalworking and Electrical Machinery and Parts,8537," Insulating fittings for electrical machines, appliances or equipment, being fittings wholly of insulating material apart from any minor components of..."
8547,-0.7294516251673291,-0.918625996441666,Metalworking and Electrical Machinery and Parts,7616," Insulating fittings for electrical machines, appliances or equipment, being fittings wholly of insulating material apart from any minor components of..."
8547,-0.7294516251673291,-0.918625996441666,Metalworking and Electrical Machinery and Parts,8546," Insulating fittings for electrical machines, appliances or equipment, being fittings wholly of insulating material apart from any minor components of..."
8547,-0.7294516251673291,-0.918625996441666,Metalworking and Electrical Machinery and Parts,8503," Insulating fittings for electrical machines, appliances or equipment, being fittings wholly of insulating material apart from any minor components of..."
5211,1.5694991904911175,-1.44100032821054,Textile and Home Goods,5210,"Made fibres, weighing more than 200 g/m2."
5211,1.5694991904911175,-1.44100032821054,Textile and Home Goods,5209,"Made fibres, weighing more than 200 g/m2."
5211,1.5694991904911175,-1.44100032821054,Textile and Home Goods,5801,"Made fibres, weighing more than 200 g/m2."
5211,1.5694991904911175,-1.44100032821054,Textile and Home Goods,5509,"Made fibres, weighing more than 200 g/m2."
5211,1.5694991904911175,-1.44100032821054,Textile and Home Goods,5515,"Made fibres, weighing more than 200 g/m2."
7215,0.1783543232725266,0.410737185906632,"Construction, Building, and Home Supplies",7217,Alloy steel.
7215,0.1783543232725266,0.410737185906632,"Construction, Building, and Home Supplies",7228,Alloy steel.
7215,0.1783543232725266,0.410737185906632,"Construction, Building, and Home Supplies",7216,Alloy steel.
7215,0.1783543232725266,0.410737185906632,"Construction, Building, and Home Supplies",7214,Alloy steel.
7215,0.1783543232725266,0.410737185906632,"Construction, Building, and Home Supplies",7213,Alloy steel.
1104,1.308960270969436,1.3752717294709873,Agriculture,1005," Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whol..."
1104,1.308960270969436,1.3752717294709873,Agriculture,1103," Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whol..."
1104,1.308960270969436,1.3752717294709873,Agriculture,102," Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whol..."
1104,1.308960270969436,1.3752717294709873,Agriculture,1702," Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whol..."
1104,1.308960270969436,1.3752717294709873,Agriculture,4101," Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whol..."
2713,-0.6725995142691485,0.9967231733765124,Minerals,2714," Petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals...."
2713,-0.6725995142691485,0.9967231733765124,Minerals,2715," Petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals...."
2713,-0.6725995142691485,0.9967231733765124,Minerals,6807," Petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals...."
2713,-0.6725995142691485,0.9967231733765124,Minerals,2710," Petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals...."
