product_code,x,y,cluster_name,target,name
2918,-2.69974199547664,0.7936197431025609,Industrial Chemicals and Metals,2932," Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated o..."
2918,-2.69974199547664,0.7936197431025609,Industrial Chemicals and Metals,2931," Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated o..."
2918,-2.69974199547664,0.7936197431025609,Industrial Chemicals and Metals,3812," Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated o..."
2918,-2.69974199547664,0.7936197431025609,Industrial Chemicals and Metals,3204," Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated o..."
2918,-2.69974199547664,0.7936197431025609,Industrial Chemicals and Metals,3006," Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated o..."
7209,-0.6014225053636881,0.5889420988861565,"Construction, Building, and Home Supplies",7208,"Reduced), not clad, plated or coated."
7209,-0.6014225053636881,0.5889420988861565,"Construction, Building, and Home Supplies",7210,"Reduced), not clad, plated or coated."
7209,-0.6014225053636881,0.5889420988861565,"Construction, Building, and Home Supplies",7213,"Reduced), not clad, plated or coated."
7209,-0.6014225053636881,0.5889420988861565,"Construction, Building, and Home Supplies",3505,"Reduced), not clad, plated or coated."
7209,-0.6014225053636881,0.5889420988861565,"Construction, Building, and Home Supplies",7305,"Reduced), not clad, plated or coated."
9002,-1.9697600173663872,-2.0454412987732864,Electronic and Electrical Goods,8443," Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than suc..."
9002,-1.9697600173663872,-2.0454412987732864,Electronic and Electrical Goods,9013," Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than suc..."
9002,-1.9697600173663872,-2.0454412987732864,Electronic and Electrical Goods,9001," Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than suc..."
9002,-1.9697600173663872,-2.0454412987732864,Electronic and Electrical Goods,8541," Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than suc..."
9002,-1.9697600173663872,-2.0454412987732864,Electronic and Electrical Goods,7006," Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than suc..."
904,2.4325859409427872,0.9084708314809932,Agriculture,910, Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta....
904,2.4325859409427872,0.9084708314809932,Agriculture,1516, Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta....
904,2.4325859409427872,0.9084708314809932,Agriculture,603, Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta....
904,2.4325859409427872,0.9084708314809932,Agriculture,1805, Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta....
904,2.4325859409427872,0.9084708314809932,Agriculture,604, Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta....
3304,0.8808523220900533,0.0863195471227142,"Construction, Building, and Home Supplies",3305,"Up preparations and preparations for the care of the skin (other than medicaments), including sunscreen or sun tan preparations; manicure or pedicure ..."
3304,0.8808523220900533,0.0863195471227142,"Construction, Building, and Home Supplies",3303,"Up preparations and preparations for the care of the skin (other than medicaments), including sunscreen or sun tan preparations; manicure or pedicure ..."
3304,0.8808523220900533,0.0863195471227142,"Construction, Building, and Home Supplies",4911,"Up preparations and preparations for the care of the skin (other than medicaments), including sunscreen or sun tan preparations; manicure or pedicure ..."
3304,0.8808523220900533,0.0863195471227142,"Construction, Building, and Home Supplies",3306,"Up preparations and preparations for the care of the skin (other than medicaments), including sunscreen or sun tan preparations; manicure or pedicure ..."
3304,0.8808523220900533,0.0863195471227142,"Construction, Building, and Home Supplies",3924,"Up preparations and preparations for the care of the skin (other than medicaments), including sunscreen or sun tan preparations; manicure or pedicure ..."
2703,0.5225058256860686,1.0105874547946412,Minerals,4301," Peat (including peat litter), whether or not agglomerated."
2703,0.5225058256860686,1.0105874547946412,Minerals,3104," Peat (including peat litter), whether or not agglomerated."
2703,0.5225058256860686,1.0105874547946412,Minerals,2836," Peat (including peat litter), whether or not agglomerated."
2703,0.5225058256860686,1.0105874547946412,Minerals,2818," Peat (including peat litter), whether or not agglomerated."
2703,0.5225058256860686,1.0105874547946412,Minerals,7102," Peat (including peat litter), whether or not agglomerated."
7020,-0.7346072557875654,-1.41942259971997,"Construction, Building, and Home Supplies",8714, Other articles of glass.
7020,-0.7346072557875654,-1.41942259971997,"Construction, Building, and Home Supplies",7006, Other articles of glass.
7020,-0.7346072557875654,-1.41942259971997,"Construction, Building, and Home Supplies",6506, Other articles of glass.
7020,-0.7346072557875654,-1.41942259971997,"Construction, Building, and Home Supplies",8472, Other articles of glass.
7020,-0.7346072557875654,-1.41942259971997,"Construction, Building, and Home Supplies",6914, Other articles of glass.
2934,-2.814310412150564,0.8429630872917722,Industrial Chemicals and Metals,2933," Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds."
2934,-2.814310412150564,0.8429630872917722,Industrial Chemicals and Metals,2932," Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds."
2934,-2.814310412150564,0.8429630872917722,Industrial Chemicals and Metals,2935," Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds."
2934,-2.814310412150564,0.8429630872917722,Industrial Chemicals and Metals,2925," Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds."
2934,-2.814310412150564,0.8429630872917722,Industrial Chemicals and Metals,2922," Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds."
