country_id,year,country,ISO3,hs_eci_rank,GDP_2021,gini_2021,group_type,group_name,group_id
4,2021,Afghanistan,AFG,128,2138.87024713086,,continent,Asia,931
4,2021,Afghanistan,AFG,128,2138.87024713086,,region,Asia,142
4,2021,Afghanistan,AFG,128,2138.87024713086,,subregion,Southern Asia,34
4,2021,Afghanistan,AFG,128,2138.87024713086,,world,world,1
8,2021,Albania,ALB,79,16261.804554188,,continent,Europe,933
8,2021,Albania,ALB,79,16261.804554188,,region,Europe,150
8,2021,Albania,ALB,79,16261.804554188,,subregion,Southern Europe,39
8,2021,Albania,ALB,79,16261.804554188,,world,world,1
12,2021,Algeria,DZA,114,14690.9162300571,,continent,Africa,932
12,2021,Algeria,DZA,114,14690.9162300571,,region,Africa,2
12,2021,Algeria,DZA,114,14690.9162300571,,subregion,Northern Africa,15
12,2021,Algeria,DZA,114,14690.9162300571,,world,world,1
24,2021,Angola,AGO,137,7414.27895783202,,continent,Africa,932
24,2021,Angola,AGO,137,7414.27895783202,,region,Africa,2
24,2021,Angola,AGO,137,7414.27895783202,,subregion,Middle Africa,17
24,2021,Angola,AGO,137,7414.27895783202,,world,world,1
31,2021,Azerbaijan,AZE,110,20111.3756952109,,continent,Asia,931
31,2021,Azerbaijan,AZE,110,20111.3756952109,,region,Asia,142
31,2021,Azerbaijan,AZE,110,20111.3756952109,,subregion,Western Asia,145
31,2021,Azerbaijan,AZE,110,20111.3756952109,,world,world,1
32,2021,Argentina,ARG,82,26086.8023552274,42.4,continent,South America,934
32,2021,Argentina,ARG,82,26086.8023552274,42.4,region,Americas,19
32,2021,Argentina,ARG,82,26086.8023552274,42.4,subregion,South America,5
32,2021,Argentina,ARG,82,26086.8023552274,42.4,world,world,1
36,2021,Australia,AUS,97,57406.1787604549,,continent,Oceania,936
36,2021,Australia,AUS,97,57406.1787604549,,region,Oceania,9
36,2021,Australia,AUS,97,57406.1787604549,,subregion,Australia and New Zealand,53
36,2021,Australia,AUS,97,57406.1787604549,,world,world,1
40,2021,Austria,AUT,9,63421.2035870778,30.7,continent,Europe,933
40,2021,Austria,AUT,9,63421.2035870778,30.7,region,Europe,150
40,2021,Austria,AUT,9,63421.2035870778,30.7,subregion,Western Europe,155
40,2021,Austria,AUT,9,63421.2035870778,30.7,world,world,1
48,2021,Bahrain,BHR,39,54351.8360757233,,continent,Asia,931
48,2021,Bahrain,BHR,39,54351.8360757233,,region,Asia,142
48,2021,Bahrain,BHR,39,54351.8360757233,,subregion,Western Asia,145
48,2021,Bahrain,BHR,39,54351.8360757233,,world,world,1
50,2021,Bangladesh,BGD,104,7366.48997079065,,continent,Asia,931
50,2021,Bangladesh,BGD,104,7366.48997079065,,region,Asia,142
50,2021,Bangladesh,BGD,104,7366.48997079065,,subregion,Southern Asia,34
50,2021,Bangladesh,BGD,104,7366.48997079065,,world,world,1
51,2021,Armenia,ARM,74,16899.0709181676,27.9,continent,Asia,931
51,2021,Armenia,ARM,74,16899.0709181676,27.9,region,Asia,142
51,2021,Armenia,ARM,74,16899.0709181676,27.9,subregion,Western Asia,145
51,2021,Armenia,ARM,74,16899.0709181676,27.9,world,world,1
56,2021,Belgium,BEL,23,62123.1613172906,26.6,continent,Europe,933
56,2021,Belgium,BEL,23,62123.1613172906,26.6,region,Europe,150
56,2021,Belgium,BEL,23,62123.1613172906,26.6,subregion,Western Europe,155
56,2021,Belgium,BEL,23,62123.1613172906,26.6,world,world,1
68,2021,Bolivia,BOL,123,9342.97184427306,40.9,continent,South America,934
68,2021,Bolivia,BOL,123,9342.97184427306,40.9,region,Americas,19
68,2021,Bolivia,BOL,123,9342.97184427306,40.9,subregion,South America,5
68,2021,Bolivia,BOL,123,9342.97184427306,40.9,world,world,1
70,2021,Bosnia and Herzegovina,BIH,43,18396.4690929752,,continent,Europe,933
70,2021,Bosnia and Herzegovina,BIH,43,18396.4690929752,,region,Europe,150
70,2021,Bosnia and Herzegovina,BIH,43,18396.4690929752,,subregion,Southern Europe,39
70,2021,Bosnia and Herzegovina,BIH,43,18396.4690929752,,world,world,1
72,2021,Botswana,BWA,122,16663.8685441919,,continent,Africa,932
72,2021,Botswana,BWA,122,16663.8685441919,,region,Africa,2
72,2021,Botswana,BWA,122,16663.8685441919,,subregion,Southern Africa,18
72,2021,Botswana,BWA,122,16663.8685441919,,world,world,1
76,2021,Brazil,BRA,68,17672.9168034655,52.9,continent,South America,934
76,2021,Brazil,BRA,68,17672.9168034655,52.9,region,Americas,19
76,2021,Brazil,BRA,68,17672.9168034655,52.9,subregion,South America,5
76,2021,Brazil,BRA,68,17672.9168034655,52.9,world,world,1
100,2021,Bulgaria,BGR,38,29404.9605099327,39.0,continent,Europe,933
100,2021,Bulgaria,BGR,38,29404.9605099327,39.0,region,Europe,150
100,2021,Bulgaria,BGR,38,29404.9605099327,39.0,subregion,Eastern Europe,151
100,2021,Bulgaria,BGR,38,29404.9605099327,39.0,world,world,1
104,2021,Myanmar,MMR,109,5138.88724952007,,continent,Asia,931
104,2021,Myanmar,MMR,109,5138.88724952007,,region,Asia,142
104,2021,Myanmar,MMR,109,5138.88724952007,,subregion,South-eastern Asia,35
104,2021,Myanmar,MMR,109,5138.88724952007,,world,world,1
112,2021,Belarus,BLR,33,27611.1801135156,,continent,Europe,933
112,2021,Belarus,BLR,33,27611.1801135156,,region,Europe,150
112,2021,Belarus,BLR,33,27611.1801135156,,subregion,Eastern Europe,151
112,2021,Belarus,BLR,33,27611.1801135156,,world,world,1
116,2021,Cambodia,KHM,78,4668.23777959985,,continent,Asia,931
