year	section_id	section_name	hs2_id	hs2_name	hs4_id	hs4_name	pci_rank	pci
2012	02	Vegetable Products	08	Edible fruits, nuts & fruit peels	0801	Coconuts, Brazil Nuts, and Cashews	1023	-3.4304704181
2012	02	Vegetable Products	08	Edible fruits, nuts & fruit peels	0802	Other Nuts	960	-1.6810293493
2012	02	Vegetable Products	08	Edible fruits, nuts & fruit peels	0803	Bananas	1019	-2.761932262
2012	02	Vegetable Products	08	Edible fruits, nuts & fruit peels	0804	Tropical Fruits	1004	-2.2370644801
2012	02	Vegetable Products	08	Edible fruits, nuts & fruit peels	0805	Citrus	843	-0.9520682034
2012	02	Vegetable Products	08	Edible fruits, nuts & fruit peels	0806	Grapes	811	-0.8327322116
2012	02	Vegetable Products	08	Edible fruits, nuts & fruit peels	0807	Melons	922	-1.4503583145
2012	02	Vegetable Products	08	Edible fruits, nuts & fruit peels	0808	Apples and Pears	650	-0.1876335096
2012	02	Vegetable Products	08	Edible fruits, nuts & fruit peels	0809	Pitted Fruits	791	-0.7397668539
2012	02	Vegetable Products	08	Edible fruits, nuts & fruit peels	0810	Other Fruits	870	-1.0834219356
2012	02	Vegetable Products	08	Edible fruits, nuts & fruit peels	0811	Frozen Fruits and Nuts	707	-0.3966912222
2012	02	Vegetable Products	08	Edible fruits, nuts & fruit peels	0813	Dried Fruits	822	-0.8655751256
2012	02	Vegetable Products	09	Coffee, tea, mate & spices	0901	Coffee	1006	-2.3423168516
2012	02	Vegetable Products	09	Coffee, tea, mate & spices	0902	Tea	996	-1.9565491011
2012	02	Vegetable Products	09	Coffee, tea, mate & spices	0904	Pepper	976	-1.7751456614
2012	02	Vegetable Products	09	Coffee, tea, mate & spices	0908	Nutmeg, mace and cardamons	1001	-2.148772552
2012	02	Vegetable Products	09	Coffee, tea, mate & spices	0910	Spices	926	-1.4704148859
2012	02	Vegetable Products	10	Cereals	1001	Wheat	657	-0.2161093609
2012	02	Vegetable Products	10	Cereals	1003	Barley	491	0.1945261906
2012	02	Vegetable Products	10	Cereals	1004	Oats	391	0.4431781873
2012	02	Vegetable Products	10	Cereals	1005	Corn	810	-0.8275795662
2012	02	Vegetable Products	10	Cereals	1006	Rice	912	-1.3689975195
2012	02	Vegetable Products	10	Cereals	1007	Sorghum	952	-1.6209735102
2012	02	Vegetable Products	10	Cereals	1008	Buckwheat	803	-0.7916945138
2012	02	Vegetable Products	11	Products of the milling industry	1101	Wheat Flours	815	-0.8510813687
2012	02	Vegetable Products	11	Products of the milling industry	1102	Cereal Flours	793	-0.7413208912
2012	02	Vegetable Products	11	Products of the milling industry	1103	Cereal Meal and Pellets	720	-0.4305310146
2012	02	Vegetable Products	11	Products of the milling industry	1104	Processed Cereals	755	-0.5509818505
2012	02	Vegetable Products	11	Products of the milling industry	1105	Potato Flours	502	0.1785440051
2012	02	Vegetable Products	11	Products of the milling industry	1107	Malt	437	0.3309310266
2012	02	Vegetable Products	11	Products of the milling industry	1108	Starches	774	-0.6549454878
2012	02	Vegetable Products	11	Products of the milling industry	1109	Wheat Gluten	245	0.7642435731
2012	02	Vegetable Products	12	Oils seeds, oleaginous fruits, grains, straw & fodder	1201	Soybeans	708	-0.4023752423
2012	02	Vegetable Products	12	Oils seeds, oleaginous fruits, grains, straw & fodder	1202	Ground Nuts	982	-1.8609860679
2012	02	Vegetable Products	12	Oils seeds, oleaginous fruits, grains, straw & fodder	1204	Linseed	671	-0.2784302222
2012	02	Vegetable Products	12	Oils seeds, oleaginous fruits, grains, straw & fodder	1205	Rapeseed	460	0.2711846966
2012	02	Vegetable Products	12	Oils seeds, oleaginous fruits, grains, straw & fodder	1206	Sunflower Seeds	567	0.0449313602
2012	02	Vegetable Products	12	Oils seeds, oleaginous fruits, grains, straw & fodder	1207	Other Oily Seeds	1013	-2.5505923141
2012	02	Vegetable Products	12	Oils seeds, oleaginous fruits, grains, straw & fodder	1208	Oil Seed Flower	734	-0.4730312702
2012	02	Vegetable Products	12	Oils seeds, oleaginous fruits, grains, straw & fodder	1209	Sowing Seeds	865	-1.0412250753
2012	02	Vegetable Products	12	Oils seeds, oleaginous fruits, grains, straw & fodder	1211	Perfume Plants	999	-2.097763891
2012	02	Vegetable Products	12	Oils seeds, oleaginous fruits, grains, straw & fodder	1212	Locust beans, seaweed, sugar beet, cane, for food	989	-1.9362520592
2012	02	Vegetable Products	12	Oils seeds, oleaginous fruits, grains, straw & fodder	1214	Forage Crops	878	-1.1780632369
2012	02	Vegetable Products	13	Natural gums, resins & other vegetable extracts	1301	Insect Resins	1010	-2.4099235571
2012	02	Vegetable Products	13	Natural gums, resins & other vegetable extracts	1302	Vegetable Saps	981	-1.8507756285
2012	02	Vegetable Products	14	Vegetable plaiting materials & products, n.e.s.	1404	Other Vegetable Products	1002	-2.1804434008
2012	03	Animal and Vegetable Bi-Products	15	Animal or vegetable fats, oils, & waxes	1501	Pig and Poultry Fat	162	0.9742465502
2012	03	Animal and Vegetable Bi-Products	15	Animal or vegetable fats, oils, & waxes	1502	Bovine, Sheep, and Goat Fat	639	-0.161670923
2012	03	Animal and Vegetable Bi-Products	15	Animal or vegetable fats, oils, & waxes	1504	Fish oil	914	-1.3850541038
2012	03	Animal and Vegetable Bi-Products	15	Animal or vegetable fats, oils, & waxes	1507	Soybean Oil	777	-0.6813765673
2012	03	Animal and Vegetable Bi-Products	15	Animal or vegetable fats, oils, & waxes	1509	Pure Olive Oil	794	-0.7414892619
2012	03	Animal and Vegetable Bi-Products	15	Animal or vegetable fats, oils, & waxes	1511	Palm Oil	1012	-2.4696741297
2012	03	Animal and Vegetable Bi-Products	15	Animal or vegetable fats, oils, & waxes	1512	Seed Oils	818	-0.8584332265
2012	03	Animal and Vegetable Bi-Products	15	Animal or vegetable fats, oils, & waxes	1513	Coconut Oil	1003	-2.2211876426
2012	03	Animal and Vegetable Bi-Products	15	Animal or vegetable fats, oils, & waxes	1514	Rapeseed Oil	347	0.5411470364
2012	03	Animal and Vegetable Bi-Products	15	Animal or vegetable fats, oils, & waxes	1515	Other Pure Vegetable Oils	846	-0.9742780801
2012	03	Animal and Vegetable Bi-Products	15	Animal or vegetable fats, oils, & waxes	1516	Other Vegetable Oils	833	-0.9112871008
