"Mode","Station","annual_entry_exit","Station_london","latitude","longitude"
"LU","Fairlop Station",885823,"Fairlop Station , London",51.5956903,0.0918324
"LU","Farringdon Station",40070382,"Farringdon Station , London",51.5204993,-0.1060483
"LU","Finchley Central Station",6258859,"Finchley Central Station , London",51.6024638,-0.1922509
"LU","Finchley Road Station",7045026,"Finchley Road Station , London",51.5466287,-0.1795179
"LU","Finsbury Park Station",20479785,"Finsbury Park Station , London",51.56481035,-0.106390961069894
"LU","Fulham Broadway Station",6823150,"Fulham Broadway Station , London",51.4801017,-0.1937597
"LU","Gants Hill Station",4780369,"Gants Hill Station , London",51.5766657,0.0646251
"LU","Gloucester Road Station",11353518,"Gloucester Road Station , London",51.4945266,-0.1837696
"LU","Golders Green Station",6030683,"Golders Green Station , London",51.5717179,-0.1942801
"LU","Goldhawk Road Station",1804676,"Goldhawk Road Station , London",51.5017564,-0.2265662
"LU","Goodge Street Station",5113576,"Goodge Street Station , London",51.5205132,-0.134580295004852
"LU","Grange Hill Station",397280,"Grange Hill Station , London",51.613134,0.0925025
"LU","Great Portland Street Station",5347065,"Great Portland Street Station , London",51.5229962,-0.1439454
"LU","Green Park Station",28247401,"Green Park Station , London",51.5066961,-0.1427797
"LU","Greenford Station",3269238,"Greenford Station , London",51.5427213,-0.3447705
"LU","Gunnersbury Station",4045767,"Gunnersbury Station , London",51.4905801,-0.2742774
"LU","Hainault Station",2861021,"Hainault Station , London",51.6043852,0.0948768
"LU","Hammersmith (DIS) Station",20290665,"Hammersmith (DIS) Station , London",NA,NA
"LU","Hammersmith (H&C) Station",8707793,"Hammersmith (H&C) Station , London",NA,NA
"LU","Hampstead Station",3889479,"Hampstead Station , London",51.5568906,-0.1782926
"LU","Hanger Lane Station",2547324,"Hanger Lane Station , London",51.5296823,-0.2912265
"LU","Harlesden Station",2466317,"Harlesden Station , London",51.5363567,-0.257833
"LU","Harrow & Wealdstone Station",3540050,"Harrow & Wealdstone Station , London",51.5922864,-0.3338383
"LU","Harrow-on-the-Hill Station",8435460,"Harrow-on-the-Hill Station , London",51.57929275,-0.33666406302605
"LU","Hatton Cross Station",2852360,"Hatton Cross Station , London",51.46708,-0.4230507
"LU","Heathrow Terminal 4 LU Station",1452783,"Heathrow Terminal 4 LU Station , London",NA,NA
"LU","Heathrow Terminal 5 LU Station",3540730,"Heathrow Terminal 5 LU Station , London",NA,NA
"LU","Heathrow Terminals 123 LU Station",5368454,"Heathrow Terminals 123 LU Station , London",NA,NA
"LU","Hendon Central Station",5179915,"Hendon Central Station , London",51.5840042,-0.2285663
"LU","High Barnet Station",3259745,"High Barnet Station , London",51.6501469,-0.1949427
"LU","High Street Kensington Station",9413060,"High Street Kensington Station , London",51.50053575,-0.19230519587533
"LU","Highbury & Islington Station",14142708,"Highbury & Islington Station , London",51.5463679,-0.1036544
"LU","Highgate Station",4408040,"Highgate Station , London",51.5772523,-0.1460414
"LU","Hillingdon Station",1373730,"Hillingdon Station , London",51.5536028,-0.4504637
"LU","Holborn Station",20240977,"Holborn Station , London",51.5169031,-0.1201482
"LU","Holland Park Station",2624208,"Holland Park Station , London",51.5073593,-0.205664503340746
"LU","Holloway Road Station",5106522,"Holloway Road Station , London",51.552042,-0.1114402
"LU","Hornchurch Station",1623305,"Hornchurch Station , London",51.5538747,0.2181092
"LU","Hounslow Central Station",3000487,"Hounslow Central Station , London",51.4717952,-0.3672703
"LU","Hounslow East Station",3370726,"Hounslow East Station , London",51.473478,-0.3569948
"LU","Hounslow West Station",2776023,"Hounslow West Station , London",51.47308845,-0.385781929280755
"LU","Hyde Park Corner Station",4159381,"Hyde Park Corner Station , London",51.5029442,-0.1538883
"LU","Ickenham Station",853803,"Ickenham Station , London",51.562916,-0.4445152
"LU","Kennington Station",4633070,"Kennington Station , London",51.4882204,-0.105498834251255
"LU","Kensal Green Station",1817060,"Kensal Green Station , London",51.5298151,-0.2233707
"LU","Kensington (Olympia) Station",NA,"Kensington (Olympia) Station , London",51.4963361,-0.2064326
"LU","Kentish Town Station",NA,"Kentish Town Station , London",51.5503801,-0.140447677316714
"LU","Kenton Station",1515511,"Kenton Station , London",51.5814418,-0.3182647
"LU","Kew Gardens Station",3937317,"Kew Gardens Station , London",51.47708625,-0.285194886448868
"LU","Kilburn Station",5573360,"Kilburn Station , London",51.54693165,-0.204290863915095
"LU","Kilburn Park Station",2617813,"Kilburn Park Station , London",51.53500615,-0.193941041069866
"LU","King's Cross St. Pancras Station",72124262,"King's Cross St. Pancras Station , London",51.530609,-0.1239491
"LU","Kingsbury Station",3466311,"Kingsbury Station , London",51.584849,-0.2793412
"LU","Knightsbridge Station",13568222,"Knightsbridge Station , London",51.5008494,-0.1601499
"LU","Ladbroke Grove Station",5748997,"Ladbroke Grove Station , London",51.5171268,-0.2097156
"LU","Lambeth North Station",2689160,"Lambeth North Station , London",51.4985137,-0.1111413
"LU","Lancaster Gate Station",3172252,"Lancaster Gate Station , London",51.5117416,-0.1751552
"LU","Latimer Road Station",1952034,"Latimer Road Station , London",51.5130623,-0.2178217
"LU","Leicester Square Station",27379635,"Leicester Square Station , London",51.5115954,-0.1282835
"LU","Leyton Station",8592536,"Leyton Station , London",51.5568183,-0.0051322
"LU","Leytonstone Station",6955728,"Leytonstone Station , London",51.5688065,0.0091252
"LU","Liverpool Street LU Station",57226398,"Liverpool Street LU Station , London",NA,NA
"LU","London Bridge LU Station",54765991,"London Bridge LU Station , London",NA,NA
"LU","Loughton Station",2752421,"Loughton Station , London",NA,NA
"LU","Maida Vale Station",2681574,"Maida Vale Station , London",51.5297928,-0.1857906
"LU","Manor House Station",5962575,"Manor House Station , London",51.5713391,-0.0961922
"LU","Mansion House Station",4377539,"Mansion House Station , London",51.5121283,-0.0947054
"LU","Marble Arch Station",8590075,"Marble Arch Station , London",51.513435,-0.1582531
"LU","Marylebone LU Station",8219228,"Marylebone LU Station , London",NA,NA
"LU","Mile End Station",11145822,"Mile End Station , London",51.524306,-0.0343678
"LU","Mill Hill East Station",1597432,"Mill Hill East Station , London",51.6084962,-0.210564914585568
