country_id,year,sitc_eci,hs_eci,growth_proj,sitc_eci_rank,hs_eci_rank,country,ISO3,legacy_location_id,hs_eci_1993,hs_eci_2022,hs_eci_1993_2022
417,2022,0.059186075,-0.26531538367271423,4.449,61,78,Kyrgyzstan,KGZ,117,,,
418,2022,-0.762664,-0.7687696814537048,5.126,107,104,Laos,LAO,123,,,
422,2022,0.37310418,0.42328065633773804,3.404,45,47,Lebanon,LBN,124,,,
428,2022,0.6781466,0.6027683019638062,3.192,39,39,Latvia,LVA,132,,,
430,2022,-1.3899174,-1.2468065023422241,1.498,134,132,Liberia,LBR,125,,,
434,2022,-1.0570841,-1.3602170944213867,0.731,126,138,Libya,LBY,126,,,
440,2022,0.8296815,0.8913971781730652,3.703,32,31,Lithuania,LTU,130,,,
450,2022,-0.8191827,-1.31873619556427,4.844,113,134,Madagascar,MDG,136,,,
454,2022,-0.7134903,-0.819866955280304,4.521,105,107,Malawi,MWI,152,,,
458,2022,1.0242734,1.1765518188476562,5.06,29,21,Malaysia,MYS,153,,,
466,2022,-0.8012846,-0.9226086735725403,4.62,111,113,Mali,MLI,141,,,
478,2022,-1.3512003,-1.3481885194778442,2.78,132,137,Mauritania,MRT,148,,,
480,2022,0.088347584,-0.042708370834589005,3.99,58,63,Mauritius,MUS,151,,,
484,2022,1.2591261,0.9908408522605896,2.565,21,29,Mexico,MEX,138,,,
496,2022,-1.534846,-1.3836748600006104,1.533,137,139,Mongolia,MNG,145,,,
498,2022,0.0779718,-0.07730694115161896,2.219,60,66,Moldova,MDA,135,,,
504,2022,-0.36627805,-0.5801316499710083,3.547,87,92,Morocco,MAR,134,,,
508,2022,-1.5526813,-1.3940656185150146,5.175,139,140,Mozambique,MOZ,147,,,
512,2022,-0.43996128,-0.3240920305252075,5.18,90,82,Oman,OMN,167,,,
516,2022,-0.5505019,-0.7336266040802002,3.834,95,102,Namibia,NAM,155,,,
524,2022,-0.14819995,-0.35146087408065796,3.039,71,83,Nepal,NPL,164,,,
528,2022,1.0714959,1.113443374633789,2.383,27,23,Netherlands,NLD,162,,,
554,2022,0.22453047,0.3703269362449646,1.88,51,49,New Zealand,NZL,166,,,
558,2022,-0.77302575,-0.9340037107467651,3.18,108,115,Nicaragua,NIC,160,,,
562,2022,-0.4314999,-0.888110876083374,2.911,89,112,Niger,NER,157,,,
566,2022,-1.7110643,-1.925632119178772,2.922,140,143,Nigeria,NGA,159,,,
578,2022,0.1767339,0.3957861065864563,1.739,55,48,Norway,NOR,163,,,
586,2022,-0.52038205,-0.4838705062866211,4.395,93,89,Pakistan,PAK,168,,,
591,2022,-0.14042449,-0.16119471192359924,3.026,70,72,Panama,PAN,169,,,
598,2022,-1.9354815,-1.465580940246582,1.737,142,141,Papua New Guinea,PNG,176,,,
600,2022,-0.44066167,-0.663885235786438,3.804,91,97,Paraguay,PRY,180,,,
604,2022,-0.86360615,-0.732469379901886,2.85,114,101,Peru,PER,173,,,
608,2022,0.79559034,0.8760826587677002,3.317,35,32,Philippines,PHL,174,,,
616,2022,1.0261523,0.9856982827186584,2.945,28,30,Poland,POL,177,,,
620,2022,0.66982573,0.5700212717056274,2.916,40,41,Portugal,PRT,179,,,
634,2022,-0.32663545,-0.22258438169956207,2.183,84,76,Qatar,QAT,183,,,
642,2022,1.2816548,1.0589650869369507,,20,26,Romania,ROU,185,,,
643,2022,-0.36029798,-0.12667407095432281,1.634,86,68,Russia,RUS,186,,,
646,2022,-0.5350747,-0.7279924154281616,5.125,94,100,Rwanda,RWA,187,,,
682,2022,0.43345684,0.6148101687431335,2.987,44,38,Saudi Arabia,SAU,188,,,
686,2022,-0.6747872,-0.6972914934158325,3.07,101,98,Senegal,SEN,191,,,
688,2022,0.73980904,0.6532065868377686,2.125,36,37,Serbia,SRB,201,,,
702,2022,1.9894205,2.0483558177948,3.0,4,3,Singapore,SGP,192,,,
703,2022,1.4504567,1.270761489868164,2.95,17,19,Slovakia,SVK,206,,,
704,2022,0.1889092,0.20500977337360382,5.783,53,52,Vietnam,VNM,239,,,
