country,ISO3,hs_eci_1995,hs_eci_2019,hs_eci_2022,hs_eci_1995_2022,hs_eci_2019_2022
Albania,ALB,-0.496367871761322,-0.4955308437347412,-0.41410139203071594,16.573691491894913,16.432771589010237
Austria,AUT,2.005422830581665,1.7166478633880615,1.6918416023254395,-15.636663923152435,-1.4450407443296613
Belgium,BEL,1.564016580581665,1.2336506843566895,1.0993013381958008,-29.712935793368285,-10.890388005657185
Bosnia and Herzegovina,BIH,0.22175300121307373,0.6148210763931274,0.5633745193481445,154.0549693876838,-8.367728274182824
Bulgaria,BGR,0.40631788969039917,0.5514373183250427,0.7650831937789917,88.29670393345464,38.74345611988781
Belarus,BLR,0.5043339729309082,0.8158442974090576,0.7000298500061035,38.802834545910095,-14.195655687090705
Croatia,HRV,0.7399368286132812,0.8132853507995605,0.8551835417747498,15.575209761818837,5.151720848530972
Czechia,CZE,1.37130868434906,1.7926112413406372,1.7358729839324951,26.585137521862066,-3.165117795741889
Denmark,DNK,1.342137098312378,1.085263729095459,1.0061627626419067,-25.03278808796285,-7.288640017434378
Estonia,EST,0.5592159628868103,0.8997156023979187,1.0013148784637451,79.0569198516279,11.292376812744427
Finland,FIN,2.0445644855499268,1.455951452255249,1.5047669410705566,-26.40159057317191,3.3528239378925093
France,FRA,1.7569042444229126,1.355021595954895,1.269187092781067,-27.760030359653744,-6.334548720851924
Germany,DEU,2.2846415042877197,2.0521628856658936,2.0143837928771973,-11.829326872654377,-1.8409402612520978
Greece,GRC,0.16942976415157318,0.07861023396253586,0.1962803304195404,15.84760883214504,149.68801201263932
Hungary,HUN,0.9367976784706116,1.463626742362976,1.3829797506332397,47.62843487091599,-5.510079133941928
Ireland,IRL,1.2830504179000854,1.5380275249481201,1.6788746118545532,30.85024473179289,9.157644100757174
Italy,ITA,1.5045385360717773,1.2817916870117188,1.3482089042663574,-10.390536902669394,5.18159213604195
Latvia,LVA,0.478285551071167,0.6708798408508301,0.6027683019638062,26.026868387273655,-10.152569020503407
Lithuania,LTU,0.46498602628707886,0.8099091053009033,0.8913971781730652,91.7040787850952,10.06138495527678
Moldova,MDA,0.3768514394760132,-0.23388001322746277,-0.07730694115161896,-120.51390363775951,66.94589670797001
Netherlands,NLD,1.2635748386383057,1.1227065324783325,1.113443374633789,-11.88148571922389,-0.8250738351094639
Norway,NOR,1.1594815254211426,0.6802268624305725,0.3957861065864563,-65.86525115674436,-41.8155723559282
Poland,POL,0.7870205044746399,1.0895068645477295,0.9856982827186584,25.24429504878555,-9.528033756094189
Portugal,PRT,0.44101133942604065,0.5728061199188232,0.5700212717056274,29.25320071077725,-0.4861764070520864
Romania,ROU,0.6697773933410645,1.0878442525863647,1.0589650869369507,58.10702144700542,-2.654715101059131
Russia,RUS,0.38928020000457764,0.25915610790252686,-0.12667407095432281,-132.54058926008392,-148.87944643850227
Serbia,SRB,0.0,0.5874459147453308,0.6532065868377686,inf,11.19433643877603
Slovakia,SVK,1.2628072500228882,1.3543039560317993,1.270761489868164,0.629885506686132,-6.168664411822309
Slovenia,SVN,1.4300637245178223,1.7305655479431152,1.6650841236114502,16.43426059023141,-3.783816476035466
Spain,ESP,1.1080622673034668,0.6376778483390808,0.759626567363739,-31.445498165700208,19.123875690882212
Sweden,SWE,2.214016914367676,1.79672372341156,1.6873983144760132,-23.785662904118556,-6.084708934992152
Switzerland,CHE,2.182713270187378,2.2255754470825195,2.2522873878479004,3.1875060554586625,1.2002262516149351
Ukraine,UKR,0.4481974244117737,0.3299211263656616,0.26072150468826294,-41.828870384420256,-20.97459548580185
North Macedonia,MKD,0.3249020576477051,0.1475774496793747,0.12521737813949585,-61.459961489295814,-15.151414791662354
United Kingdom,GBR,1.7971079349517822,1.7077182531356812,1.8285157680511475,1.7476876312500358,7.073620879419665
